Ref,Val,Package,PosX,PosY,Rot,Side
"C1","33pF","GSG-0402",91.096400,-163.046800,270.000000,top
"C2","10nF","GSG-0402",90.080400,-163.046800,270.000000,top
"C3","33pF","GSG-0402",93.128400,-163.046800,270.000000,top
"C4","10nF","GSG-0402",92.112400,-163.046800,270.000000,top
"C5","33pF","GSG-0402",92.341000,-152.328000,90.000000,top
"C6","10nF","GSG-0402",93.357000,-152.328000,90.000000,top
"C7","33pF","GSG-0402",107.084000,-168.576200,180.000000,top
"C8","22pF","GSG-0402",113.919000,-155.448000,270.000000,top
"C9","100nF","GSG-0402",85.400000,-149.168200,90.000000,top
"C10","33pF","GSG-0402",87.632400,-143.481600,0.000000,top
"C12","330pF","GSG-0402",87.794400,-153.826600,270.000000,top
"C13","330pF","GSG-0402",88.556400,-150.905600,180.000000,top
"C14","8p2","GSG-0402",90.334400,-152.683600,90.000000,top
"C15","180pF","GSG-0402",90.842400,-150.905600,0.000000,top
"C16","33pF","GSG-0402",106.860200,-164.389200,90.000000,top
"C17","100nF","GSG-0402",82.935800,-141.938200,0.000000,top
"C18","100nF","GSG-0402",78.871800,-141.938200,0.000000,top
"C20","100nF","GSG-0402",87.607000,-141.528800,0.000000,top
"C21","22pF","GSG-0402",102.438200,-165.379400,180.000000,top
"C22","33pF","GSG-0402",95.735000,-166.014800,0.000000,top
"C23","100nF","GSG-0402",101.269800,-151.180800,90.000000,top
"C24","33pF","GSG-0402",92.687000,-143.561200,270.000000,top
"C25","100nF","GSG-0402",97.192400,-163.732600,0.000000,top
"C26","47pF","GSG-0402",78.871800,-138.890200,180.000000,top
"C27","47pF","GSG-0402",82.935800,-138.890200,0.000000,top
"C28","100nF","GSG-0402",97.192400,-164.875600,0.000000,top
"C29","33pF","GSG-0402",76.151600,-138.303400,90.000000,top
"C30","33pF","GSG-0402",84.736800,-143.535800,90.000000,top
"C31","100nF","GSG-0402",75.595200,-142.446200,90.000000,top
"C32","22pF","GSG-0402",102.438200,-168.808400,180.000000,top
"C33","33pF","GSG-0402",100.113400,-164.139000,90.000000,top
"C34","33pF","GSG-0402",98.310000,-151.921600,90.000000,top
"C35","33pF","GSG-0402",97.167000,-151.159600,90.000000,top
"C36","33pF","GSG-0402",96.024000,-150.778600,90.000000,top
