Title,HackRF One
Revision,
Date,2020-09-06
Generated,Monday, 07 September 2020 at 11:33:54 am
Company,Copyright 2012-2018 Michael Ossmann
Comment 1,License: GPL v2
Comment 2,
Comment 3,
Comment 4,
Total Parts,417
Total Unique Parts,167
Generated Monday, 07 September 2020 at 11:33:54 am


Ref,Value,Footprint,Qty,Description,Manufacturer,Note,Note:,Part Number,
C1 C3 C5 C7 C10 C16 C22 C24 C29 C30 C33 C34 C35 C36 C37 C38 C39 C40 C45 C47 C54 C55 C56 C57 C60 C63 C65 C66 C67 ,33pF,hackrf:GSG-0402,29,,CAP CER 33PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H330JA01D
C2 C4 C6 C162 C163 ,10nF,hackrf:GSG-0402,5,,CAP CER 10000PF 16V 10% X7R 0402,Murata, , ,GRM155R71C103KA01D
C8 C21 C32 C43 C48 C51 ,22pF,hackrf:GSG-0402,6,,CAP CER 22PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H220JA01D
C9 C17 C18 C20 C23 C25 C28 C31 C44 C46 C49 C50 C58 C59 C61 C62 C64 C117 C166 C172 ,100nF,hackrf:GSG-0402,20,,CAP CER 0.1UF 10V 10% X5R 0402,Murata, , ,GRM155R61A104KA01D
C12 C13 ,330pF,hackrf:GSG-0402,2,,CAP CER 330PF 50V 10% X7R 0402,Murata, , ,GRM155R71H331KA01D
C14 ,8p2,hackrf:GSG-0402,1,,CAP CER 8.2PF 50V NP0 0402,Taiyo Yuden, , ,UMK105CG8R2DV-F
C15 ,180pF,hackrf:GSG-0402,1,,CAP CER 180PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H181JA01D
C26 C27 ,47pF,hackrf:GSG-0402,2,,CAP CER 47PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H470JA01D
C41 C42 C52 C70 C160 ,100pF,hackrf:GSG-0402,5,,CAP CER 100PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H101JA01D
C53 C161 C171 ,1uF,hackrf:GSG-0402,3,,CAP CER 1UF 10V 10% X5R 0402,Taiyo Yuden, , ,LMK105BJ105KV-F
C68 C69 C159 C165 C168 ,100pF,hackrf:GSG-0402,5,,CAP CER 100PF 50V 5% NP0 0402,Murata,DNP, ,GRM1555C1H101JA01D
C71 C73 C75 C77 C79 C81 C83 C91 C113 C119 C120 C121 C122 C123 C128 C129 C130 C131 C132 C133 C134 C135 C136 C137 C138 C139 C140 C141 C142 C144 C147 C148 C149 C150 C151 C152 C153 C154 C167 ,100nF,hackrf:GSG-0402,39,,CAP CER 0.1UF 10V 10% X5R 0402,Murata, , ,GRM155R61A104KA01D
C72 C74 C76 C78 C80 C82 C124 ,2.2uF,hackrf:GSG-0402,7,,CAP CER 2.2UF 10V 20% X5R 0402,Taiyo Yuden, , ,LMK105BJ225MV-F
C84 C85 C86 C94 C99 C102 ,22pF,hackrf:GSG-0402,6,,CAP CER 22PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H220JA01D
C87 C88 C89 C92 C93 ,10nF,hackrf:GSG-0402,5,,CAP CER 10000PF 16V 10% X7R 0402,Murata, , ,GRM155R71C103KA01D
C90 ,100pF,hackrf:GSG-0402,1,,CAP CER 100PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H101JA01D
C95 C96 C101 C103 C107 C108 C109 C110 ,22pF,hackrf:GSG-0402,8,,CAP CER 22PF 50V 5% NP0 0402,Murata,DNP, ,GRM1555C1H220JA01D
C97 C98 C100 ,330nF,hackrf:GSG-0402,3,,CAP CER 0.33UF 10V 10% X5R 0402,Murata, , ,GRM155R61A334KE15D
C104 C111 ,3pF,hackrf:GSG-0402,2,,CAP CER 3PF 50V NP0 0402,Murata, , ,GRM1555C1H3R0CA01D
C105 C126 C127 C143 C145 C146 ,10uF,hackrf:GSG-0805,6,,CAP CER 10UF 10V 10% X5R 0805,Murata, , ,GRM21BR61A106KE19L
C106 ,1uF,hackrf:GSG-0402,1,,CAP CER 1UF 10V 10% X5R 0402,Taiyo Yuden, , ,LMK105BJ105KV-F
C112 ,180pF,hackrf:GSG-0402,1,,CAP CER 180PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H181JA01D
C114 ,3.3nF,hackrf:GSG-0402,1,,CAP CER 3300PF 50V 10% X7R 0402,Murata, , ,GRM155R71H332KA01D
C115 C125 ,33pF,hackrf:GSG-0402,2,,CAP CER 33PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H330JA01D
C116 ,47pF,hackrf:GSG-0402,1,,CAP CER 47PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H470JA01D
C118 C157 C158 C164 ,18pF,hackrf:GSG-0402,4,,CAP CER 18PF 50V 5% NP0 0402,Murata, , ,GRM1555C1H180JA01D
C156 ,47pF,hackrf:GSG-0402,1,,CAP CER 47PF 50V 5% NP0 0402,Murata,DNP, ,GRM1555C1H470JA01D
C169 C170 ,1.8pF,hackrf:GSG-0402,2,,CAP CER 1.8PF 25V C0G/NP0 0402,Murata, , ,GRM1555C1E1R8BA01D
C173 ,1pF,hackrf:GSG-0402,1,,CAP CER 1PF 50V 5% NP0 0402,Murata, , ,GJM1555C1H1R0JB01
D1 D3 ,BAS70-04,Package_TO_SOT_SMD:SOT-23,2,, , , , , 
D2 ,VAALED,gsg-modules:LTST-S220,1,,LED SUPR RED CLR RT ANG 0805,Lite-On, , ,LTST-S220KRKT
D4 ,USBLED,gsg-modules:LTST-S220,1,,LED GREEN CLEAR RT ANG 0805,Lite-On, , ,LTST-S220KGKT
D5 ,RXLED,gsg-modules:LTST-S220,1,,LED YELLOW CLEAR RT ANG 0805,Lite-On, , ,LTST-S220KSKT
D6 ,TXLED,gsg-modules:LTST-S220,1,,LED SUPR RED CLR RT ANG 0805,Lite-On, , ,LTST-S220KRKT
D7 ,VCCLED,gsg-modules:LTST-S220,1,,LED GREEN CLEAR RT ANG 0805,Lite-On, , ,LTST-S220KGKT
D8 ,1V8LED,gsg-modules:LTST-S220,1,,LED YELLOW CLEAR RT ANG 0805,Lite-On, , ,LTST-S220KSKT
D10 D11 D12 ,SMP1330,gsg-modules:SMP1330-085LF,3,,Limiter Diode,Skyworks Solutions, , ,SMP1330-085LF
FB1 FB2 FB3 ,FILTER,hackrf:GSG-0805,3,,FERRITE CHIP 220 OHM 2000MA 0805,Murata, , ,BLM21PG221SN1D
J1 ,USB-MICRO-B,hackrf:GSG-USB-MICROB-FCI-10103592-EXT,1,,CONN RCPT REV MICRO USB TYPE B,FCI, , ,10103592-0001LF
J2 ,RF-SHIELD-FRAME,hackrf:GSG-SHIELD-BMI-S-230,1,,BOARD SHIELD 2INX1.5IN FRAME,Laird,DNP, ,BMI-S-230-F-R
J3 ,RF-SHIELD-COVER,hackrf:GSG-NULL-MODULE,1,,BOARD SHIELD 2INX1.5IN COVER,Laird,DNP, ,BMI-S-230-C
J4 J5 J6 J7 J8 J9 ,MOUNTING_HOLE,hackrf:GSG-HOLE126MIL-COPPER,6,, , ,DNP, , 
J10 ,GND_CLIP,hackrf:GSG-TEST-POINT-S1751-46R,1,,PC TEST POINT TIN SMD,Harwin,DNP, ,S1751-46R
L1 L4 L6 L8 L9 ,DNP,hackrf:GSG-0402,5,, , ,DNP, , 
L2 L3 L5 L12 ,10uH,hackrf:GSG-0603,4,,INDUCTR 10UH 220MA 20% 0603 SMD,Taiyo Yuden, , ,BRL1608T100M
L7 ,6.2nH,hackrf:GSG-0402,1,,INDUCTOR HIFREQ 6.2+/-0.3NH 0402,Taiyo Yuden, , ,HK10056N2S-T
L10 L11 ,4u7,hackrf:GSG-NRG4026,2,,INDUCTOR 4.7UH 1.6A 20% SMD,Taiyo Yuden, , ,NRG4026T4R7M
L13 ,0.56uH,hackrf:GSG-0603,1,,INDUCTOR 560nH ±5% 70mA 8.1Ω 0603,Sunlord, , ,SDWL1608CR56JSTF
L14 ,3.3uH,hackrf:GSG-0603,1,,INDUCTR 3.3UH 290MA 20% 0603 SMD,Taiyo Yuden, , ,BRL1608T3R3M
P1 ,1V8,hackrf:GSG-HEADER-1x2,1,, , ,DNP, , 
P2 ,CLKOUT,hackrf:GSG-SMA-73251-2120,1,,CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER,Molex, , ,73251-2121
P3 ,GND,hackrf:GSG-HEADER-NOMARK-1x2,1,, , ,DNP, , 
P4 ,ANTENNA,hackrf:GSG-SMA-73251-2120,1,,CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER,Molex, , ,73251-2121
P5 ,LEDS,hackrf:GSG-HEADER-2x3,1,, , ,DNP, , 
P6 ,GPO4,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P7 ,GPO2,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P8 ,VCC,hackrf:GSG-HEADER-1x2,1,, , ,DNP, , 
P9 ,BASEBAND,hackrf:GSG-HEADER-2x8,1,,CONN HEADER FMAL 16PS.1" DL GOLD,Sullins, , ,PPPC082LFBN-RC
P13 ,GPO1,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P14 ,XCVR_CLKOUT,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P15 ,INTR,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P16 ,CLKIN,hackrf:GSG-SMA-73251-2120,1,,CONN SMA JACK 50 OHM EDGE MNT W/JAM NUT & LOCK WASHER,Molex, , ,73251-2121
P17 ,GPO6,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P18 ,OEB,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P19 ,GPO3,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P20 ,GPIO,hackrf:GSG-HEADER-2x11,1,,CONN HEADER FMAL 22PS.1" DL GOLD,Sullins, , ,PPPC112LFBN-RC
